#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 03 06 56 999 99.0 99.0  0.50 14.29  8.36  68 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 07 26 999 99.0 99.0  0.50 13.33  8.55  79 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 07 56 999 99.0 99.0  0.50 14.29  8.64  75 9999.0 999.0  12.8 999.0 99.0 99.00
2022 01 03 08 26 999 99.0 99.0  0.54 13.33  6.58  75 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 08 56 999 99.0 99.0  0.54 13.33  4.49  92 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 09 26 999 99.0 99.0  0.59 11.76  3.88  73 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 09 56 999 99.0 99.0  0.74 13.33  3.57  73 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 10 26 999 99.0 99.0  0.97  3.33  3.60  34 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 10 56 999 99.0 99.0  1.25  3.85  3.77  34 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 11 26 999 99.0 99.0  1.53  4.76  4.09  44 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 11 56 999 99.0 99.0  1.78  5.56  4.50  31 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 12 26 999 99.0 99.0  2.19  5.26  4.86  42 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 12 56 999 99.0 99.0  2.11  5.88  5.07  30 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 13 26 999 99.0 99.0  2.08  6.25  5.00  30 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 13 56 999 99.0 99.0  2.38  6.67  5.16  31 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 14 26 999 99.0 99.0  2.74  7.14  5.53  27 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 03 14 56 999 99.0 99.0  2.95  6.67  5.53  34 9999.0 999.0  12.5 999.0 99.0 99.00
